# Downloaded from http://astropixels.com/caldwell/caldwellcat.html
# 2014 July 4
# C,NGC,Type,Mag.,Size arc_min,Distance (ly),RA (hr_min),Dec (dg_min),Con,Viewing Season,Common Name

1 ,NGC 188 ,OC ,8.1 ,14 ,4800 ,00 44.4 ,+85 20 ,Cep ,autumn ,
2 ,NGC 40 ,Pl ,11.6 ,0.6 ,3500 ,00 13.0 ,+72 32 ,Cep ,autumn ,Bow Tie Nebula
3 ,NGC 4236 ,Gx ,9.7 ,21x7 ,7 million ,12 16.7 ,+69 28 ,Dra ,spring ,
4 ,NGC 7023 ,Nb ,6.8 ,18x18 ,1400 ,21 01.8 ,+68 12 ,Cep ,autumn ,Iris Nebula
5 ,IC 342 ,Gx ,9.2 ,18x17 ,13 million ,03 46.8 ,+68 06 ,Cam ,winter ,
6 ,NGC 6543 ,Pl ,8.8 ,0.3/5.8 ,3000 ,17 58.6 ,+66 38 ,Dra ,summer ,Cat's Eye Nebula
7 ,NGC 2403 ,Gx ,8.9 ,18x10 ,14 million ,07 36.9 ,+65 36 ,Cam ,winter ,
8 ,NGC 559 ,OC ,9.5 ,4 ,3700 ,01 29.5 ,+63 18 ,Cas ,autumn ,
9 ,Sharpless 155 ,Nb ,7.7 ,50x10 ,2800 ,22 56.8 ,+62 37 ,Cep ,autumn ,Cave Nebula
10 ,NGC 663 ,OC ,7.1 ,16 ,7200 ,01 46.0 ,+61 15 ,Cas ,autumn ,
11 ,NGC 7635 ,Nb ,7.0 ,15x8 ,7100 ,23 20.7 ,+61 12 ,Cas ,autumn ,Bubble nebula
12 ,NGC 6946 ,Gx ,9.7 ,11x9 ,18 million ,20 34.8 ,+60 09 ,Cep ,summer ,
13 ,NGC 457 ,OC ,6.4 ,13 ,- ,01 19.1 ,+58 20 ,Cas ,autumn ,Owl or E.T. Cluster
14 ,NGC 869 / NGC 884 ,OC ,4.3 ,30 & 30 ,7300 ,02 20.0 ,+57 08 ,Per ,autumn ,Double Cluster, h & chi Persei
15 ,NGC 6826 ,Pl ,9.8 ,0.5/2.3 ,2200 ,19 44.8 ,+50 31 ,Cyg ,summer ,Blinking Planetary
16 ,NGC 7243 ,OC ,6.4 ,21 ,2500 ,22 15.3 ,+49 53 ,Lac ,autumn ,
