Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	301.19611210989166	29.207404660408	0.0	0.0	false	null
line	+	301.19611210989166	29.207404660408	0.0	0.0	false	
line	+	301.19798899019963	29.209042981811354	0.0	0.0	false	
line	+	301.19879337758044	29.210447231607937	0.0	0.0	false	
line	+	301.19986592900443	29.21185147711772	0.0	0.0	false	
line	+	301.2009385076899	29.213021674034415	0.0	0.0	false	
line	+	301.2017429667467	29.21442590615499	0.0	0.0	false	
line	+	301.20254745368254	29.21606417347665	0.0	0.0	false	
line	+	301.20335198167527	29.218170516018215	0.0	0.0	false	
line	+	301.2036201981196	29.21980878921051	0.0	0.0	false	
line	+	301.2036202643079	29.221681109374078	0.0	0.0	false	
line	+	301.20362033877615	29.223787469549073	0.0	0.0	false	
line	+	301.2038885920103	29.225893822221927	0.0	0.0	false	
line	+	301.2038886453421	29.22729806232801	0.0	0.0	false	
line	+	301.20388870756653	29.22893634244745	0.0	0.0	false	
line	+	301.2038888142472	29.231744822642383	0.0	0.0	false	
line	+	301.2038888764836	29.23338310275093	0.0	0.0	false	
line	+	301.2036207277752	29.234787350335317	0.0	0.0	false	
line	+	301.2028161666769	29.236425649708767	0.0	0.0	false	
line	+	301.2020115752244	29.237829904248187	0.0	0.0	false	
line	+	301.2012069644544	29.239468193982344	0.0	0.0	false	
line	+	301.1998658909983	29.240872439418414	0.0	0.0	false	
line	+	301.1987930051831	29.24204263413306	0.0	0.0	false	
line	+	301.19772009483086	29.243212820281244	0.0	0.0	false	
line	+	301.1971836079077	29.244617050188936	0.0	0.0	false	
line	+	301.19691533070227	29.246255324391345	0.0	0.0	false	
line	+	301.1969152813117	29.24789360448186	0.0	0.0	false	
line	+	301.1969152319176	29.249531884571933	0.0	0.0	false	
line	+	301.196915175463	29.25140420467479	0.0	0.0	false	
line	+	301.1963786345313	29.252808431367068	0.0	0.0	false	
line	+	301.1958420693551	29.254446695930636	0.0	0.0	false	
line	+	301.1950372404584	29.255850908702172	0.0	0.0	false	
line	+	301.1942323894621	29.257255116654804	0.0	0.0	false	
line	+	301.1931592673796	29.258425266389416	0.0	0.0	false	
line	+	301.1920861207403	29.25959540755638	0.0	0.0	false	
line	+	301.1904764310125	29.260531463196173	0.0	0.0	false	
line	+	301.18886673729486	29.261233459545117	0.0	0.0	false	
line	+	301.1872570798012	29.26146735659084	0.0	0.0	false	
line	+	301.18564744778985	29.261467194347258	0.0	0.0	false	
line	+	301.1835013472945	29.260998868014287	0.0	0.0	false	
line	+	301.18162370420225	29.259594384319854	0.0	0.0	false	
line	+	301.180282549241	29.25865803419778	0.0	0.0	false	
line	+	301.1789416115695	29.25678551065905	0.0	0.0	false	
line	+	301.1778689271502	29.25514705819337	0.0	0.0	false	
line	+	301.17760108170313	29.25327469368979	0.0	0.0	false	
line	+	301.17760144040477	29.251636413634603	0.0	0.0	false	
line	+	301.1778700916264	29.249764138008768	0.0	0.0	false	
line	+	301.1784069693972	29.247891905210697	0.0	0.0	false	
line	+	301.1794802904864	29.246019753247662	0.0	0.0	false	
line	+	301.18028530060826	29.244381593639407	0.0	0.0	false	
line	+	301.18135846521415	29.242977506690984	0.0	0.0	false	
line	+	301.18216338052423	29.241573375839188	0.0	0.0	false	
line	+	301.1829682737386	29.24016924016462	0.0	0.0	false	
line	+	301.18377314485906	29.238765099667308	0.0	0.0	false	
line	+	301.18484623733775	29.237126944847677	0.0	0.0	false	
line	+	301.18591929545767	29.23548878145587	0.0	0.0	false	
line	+	301.18726054795087	29.23361659517207	0.0	0.0	false	
line	+	301.18833350394493	29.232212452508513	0.0	0.0	false	
line	+	301.18887004723655	29.230808257918394	0.0	0.0	false	
line	+	301.18967478736124	29.229170042042156	0.0	0.0	false	
line	+	301.19021134105265	29.22729776205669	0.0	0.0	false	
line	+	301.1902114976756	29.22565948193836	0.0	0.0	false	
line	+	301.1902116542876	29.22402120181506	0.0	0.0	false	
line	+	301.18994361834126	29.222616941902245	0.0	0.0	false	
line	+	301.1896755897415	29.22121268145076	0.0	0.0	false	
line	+	301.18913943048557	29.21957435903267	0.0	0.0	false	
line	+	301.18833513045786	29.21793601145631	0.0	0.0	false	
line	+	301.18726267342043	29.21653167392758	0.0	0.0	false	
line	+	301.1864584272928	29.214893315105872	0.0	0.0	false	
line	+	301.18592232038316	29.21348901984971	0.0	0.0	false	
line	+	301.1856544035418	29.211850711323514	0.0	0.0	false	
line	+	301.1853864952611	29.21021240225547	0.0	0.0	false	
line	+	301.1859229957742	29.20857417933564	0.0	0.0	false	
line	+	301.18726380830674	29.207404112981926	0.0	0.0	false	
line	+	301.18887264124334	29.20693617580247	0.0	0.0	false	
line	+	301.19048145948295	29.206468219356662	0.0	0.0	false	
line	*	301.19611210989166	29.207404660408	0.0	0.0	false	
