Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	106.37571738349227	-12.39120026534916	0.0	0.0	false	null
line	+	106.37571738349227	-12.39120026534916	0.0	0.0	false	
line	+	106.37273702115785	-12.39469522432523	0.0	0.0	false	
line	+	106.3691600173545	-12.397025559607183	0.0	0.0	false	
line	+	106.3649865395207	-12.398773614405757	0.0	0.0	false	
line	+	106.36140915539094	-12.39993911579096	0.0	0.0	false	
line	+	106.35783161961095	-12.40052220406375	0.0	0.0	false	
line	+	106.3542539561113	-12.400522879205827	0.0	0.0	false	
line	+	106.3500800153539	-12.400523608023008	0.0	0.0	false	
line	+	106.34590607458877	-12.400524273464788	0.0	0.0	false	
line	+	106.34232832592816	-12.399942426815562	0.0	0.0	false	
line	+	106.33815416699198	-12.398195874802985	0.0	0.0	false	
line	+	106.33457639971896	-12.397031560684743	0.0	0.0	false	
line	+	106.3304022807285	-12.394702524408133	0.0	0.0	false	
line	+	106.3262282362419	-12.39237342477522	0.0	0.0	false	
line	+	106.32145801292367	-12.390044299940007	0.0	0.0	false	
line	+	106.31788046243456	-12.389462135126218	0.0	0.0	false	
line	+	106.3143029052994	-12.388297557196735	0.0	0.0	false	
line	+	106.31012913339622	-12.387132946294274	0.0	0.0	false	
line	+	106.30655164272564	-12.385968267503094	0.0	0.0	false	
line	+	106.30237794259651	-12.3848035389299	0.0	0.0	false	
line	+	106.29880051837671	-12.383638759282935	0.0	0.0	false	
line	+	106.29462691126704	-12.38189154650627	0.0	0.0	false	
line	+	106.29104959068295	-12.380144299479973	0.0	0.0	false	
line	+	106.28866484047246	-12.377232342697809	0.0	0.0	false	
line	+	106.28568396708536	-12.373737959318296	0.0	0.0	false	
line	+	106.28270312552323	-12.370825910182534	0.0	0.0	false	
line	+	106.28210721076503	-12.367331663978236	0.0	0.0	false	
line	+	106.28031903093633	-12.362672582704704	0.0	0.0	false	
line	+	106.2797231664432	-12.359178331443102	0.0	0.0	false	
line	+	106.27972354714471	-12.355101766112536	0.0	0.0	false	
line	+	106.27972398210403	-12.350442834365428	0.0	0.0	false	
line	+	106.28032056935831	-12.345783955030535	0.0	0.0	false	
line	+	106.28151322674836	-12.341707490669442	0.0	0.0	false	
line	+	106.28270584693874	-12.337631021162156	0.0	0.0	false	
line	+	106.28449455455348	-12.333554589806555	0.0	0.0	false	
line	+	106.28628320646098	-12.329478146829619	0.0	0.0	false	
line	+	106.28687955215146	-12.325983986290465	0.0	0.0	false	
line	+	106.28687978244804	-12.322489787629305	0.0	0.0	false	
line	+	106.28688016615484	-12.316666123204456	0.0	0.0	false	
line	+	106.2868803963065	-12.313171924550502	0.0	0.0	false	
line	+	106.28688066474805	-12.309095359449888	0.0	0.0	false	
line	+	106.28688093311574	-12.305018794339686	0.0	0.0	false	
line	+	106.28688120140932	-12.300942229214742	0.0	0.0	false	
line	+	106.2868814696289	-12.29686566406989	0.0	0.0	false	
line	+	106.2862857057445	-12.292789060781631	0.0	0.0	false	
line	+	106.28509397973883	-12.288130049013269	0.0	0.0	false	
line	+	106.2833061925754	-12.284635720389804	0.0	0.0	false	
line	+	106.28092249870886	-12.280558963905385	0.0	0.0	false	
line	+	106.27853887864413	-12.276482186717578	0.0	0.0	false	
line	+	106.27675125751449	-12.272987815378423	0.0	0.0	false	
line	+	106.27555966302327	-12.269493495038612	0.0	0.0	false	
line	+	106.27317622598302	-12.265416671233352	0.0	0.0	false	
line	+	106.27079286263617	-12.261339826713083	0.0	0.0	false	
line	+	106.26840973105303	-12.256098228449025	0.0	0.0	false	
line	+	106.26721840490129	-12.252021505223002	0.0	0.0	false	
line	+	106.26662296299986	-12.248527225314657	0.0	0.0	false	
line	+	106.26662354361974	-12.244450659526604	0.0	0.0	false	
line	+	106.27019952929544	-12.240956925168412	0.0	0.0	false	
line	+	106.27377508454875	-12.240374977069044	0.0	0.0	false	
line	+	106.27794624651952	-12.242704872765424	0.0	0.0	false	
line	+	106.2809256343598	-12.24503460699813	0.0	0.0	false	
line	+	106.28450100399931	-12.24736435219107	0.0	0.0	false	
line	+	106.28748046550227	-12.250276381887515	0.0	0.0	false	
line	+	106.28986405047608	-12.253188348903823	0.0	0.0	false	
line	+	106.29403555728706	-12.255518000383182	0.0	0.0	false	
line	+	106.29880311445667	-12.256682867774703	0.0	0.0	false	
line	+	106.30237881592991	-12.25668291427725	0.0	0.0	false	
line	+	106.30714641789453	-12.256682903943352	0.0	0.0	false	
line	+	106.3119140369864	-12.257265177461731	0.0	0.0	false	
line	+	106.31668164948893	-12.25726500178454	0.0	0.0	false	
line	+	106.32144930019878	-12.257847109955456	0.0	0.0	false	
line	+	106.32502506359414	-12.258429228456267	0.0	0.0	false	
line	+	106.32919679831505	-12.259011246841341	0.0	0.0	false	
line	+	106.33277253139899	-12.259010898065105	0.0	0.0	false	
line	+	106.33634819332424	-12.25842813627553	0.0	0.0	false	
line	+	106.33992368132925	-12.256680594962718	0.0	0.0	false	
line	+	106.34230697643294	-12.253186075515744	0.0	0.0	false	
line	+	106.34230630213499	-12.248527143295211	0.0	0.0	false	
line	+	106.34230562804998	-12.243868210962017	0.0	0.0	false	
line	+	106.34111321428871	-12.239791807806787	0.0	0.0	false	
line	+	106.33932501231159	-12.236297842798637	0.0	0.0	false	
line	+	106.33694088919589	-12.232221571162501	0.0	0.0	false	
line	+	106.33515279400342	-12.228727578836706	0.0	0.0	false	
line	+	106.33396055968747	-12.224651144247307	0.0	0.0	false	
line	+	106.33396003391077	-12.219992211173782	0.0	0.0	false	
line	+	106.33693893697982	-12.216497672302644	0.0	0.0	false	
line	+	106.34110962735771	-12.214167676882417	0.0	0.0	false	
line	+	106.34468466323749	-12.213584806628644	0.0	0.0	false	
line	+	106.34885563344785	-12.213584160358499	0.0	0.0	false	
line	+	106.35362245653637	-12.213583344289118	0.0	0.0	false	
line	+	106.35779366319879	-12.214747295740427	0.0	0.0	false	
line	+	106.3619650341045	-12.216493550530558	0.0	0.0	false	
line	+	106.36554046149088	-12.217657509021354	0.0	0.0	false	
line	+	106.36911577719064	-12.218239054379621	0.0	0.0	false	
line	+	106.37388329935189	-12.220567353481549	0.0	0.0	false	
line	+	106.37686344437402	-12.223478414885872	0.0	0.0	false	
line	+	106.38043970536341	-12.226971645823548	0.0	0.0	false	
line	+	106.3840162374887	-12.231047196676005	0.0	0.0	false	
line	+	106.38640071430889	-12.23395832682529	0.0	0.0	false	
line	+	106.38878543076196	-12.23745180273965	0.0	0.0	false	
line	+	106.39117001848675	-12.240362891368267	0.0	0.0	false	
line	+	106.39415057897259	-12.24327376486064	0.0	0.0	false	
line	+	106.39772692527929	-12.245602037353223	0.0	0.0	false	
line	+	106.40130354952899	-12.248512629729804	0.0	0.0	false	
line	+	106.40488003041017	-12.250840809052681	0.0	0.0	false	
line	+	106.40905274877662	-12.253751081533023	0.0	0.0	false	
line	+	106.41262984914054	-12.257243892754445	0.0	0.0	false	
line	+	106.4162063014608	-12.258989558131978	0.0	0.0	false	
line	+	106.41978280129318	-12.260735176947927	0.0	0.0	false	
