Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	131.27433848433714	-41.48615787175376	0.0	0.0	false	null
line	+	131.27433848433714	-41.48615787175376	0.0	0.0	false	
line	+	131.26762151415068	-41.48364253379322	0.0	0.0	false	
line	+	131.25642740345717	-41.48280387133363	0.0	0.0	false	
line	+	131.24971097620002	-41.482803319311785	0.0	0.0	false	
line	+	131.2429945490912	-41.48280237762747	0.0	0.0	false	
line	+	131.23627812220818	-41.482801046280684	0.0	0.0	false	
line	+	131.22956169562852	-41.482799325271515	0.0	0.0	false	
line	+	131.22172586510544	-41.48279682493752	0.0	0.0	false	
line	+	131.21389003522353	-41.48279379422983	0.0	0.0	false	
line	+	131.2060542061057	-41.482790233148535	0.0	0.0	false	
line	+	131.1993435065117	-41.47691650217452	0.0	0.0	false	
line	+	131.19711167334418	-41.470206393567565	0.0	0.0	false	
line	+	131.19599765102012	-41.465174107456264	0.0	0.0	false	
line	+	131.1892849459953	-41.46349283395653	0.0	0.0	false	
line	+	131.18257155470369	-41.46264977896062	0.0	0.0	false	
line	+	131.17361910462435	-41.462643243488735	0.0	0.0	false	
line	+	131.1669060048234	-41.461799279822365	0.0	0.0	false	
line	+	131.16019175632823	-41.46179353431535	0.0	0.0	false	
line	+	131.1523541939815	-41.46430216121349	0.0	0.0	false	
line	+	131.14563666466233	-41.46597278617871	0.0	0.0	false	
line	+	131.1389187892925	-41.467643021239276	0.0	0.0	false	
line	+	131.12996565552064	-41.46763310900466	0.0	0.0	false	
line	+	131.11989338328314	-41.46762112992029	0.0	0.0	false	
line	+	131.11205939630898	-41.46761120686888	0.0	0.0	false	
line	+	131.10311039400355	-41.465922003642525	0.0	0.0	false	
line	+	131.0941683877368	-41.46171628923085	0.0	0.0	false	
line	+	131.08522753982484	-41.45750988431687	0.0	0.0	false	
line	+	131.07852563675584	-41.45330637000591	0.0	0.0	false	
line	+	131.06959443919072	-41.44658293991601	0.0	0.0	false	
line	+	131.0651320837842	-41.44238236095978	0.0	0.0	false	
line	+	131.0584356770655	-41.43733907849416	0.0	0.0	false	
line	+	131.05285613170653	-41.43313604732938	0.0	0.0	false	
line	+	131.04728008742217	-41.42809414219329	0.0	0.0	false	
line	+	131.0394710453878	-41.42220907088934	0.0	0.0	false	
line	+	131.0327787053088	-41.41716430486503	0.0	0.0	false	
line	+	131.02720558549515	-41.41212143315071	0.0	0.0	false	
line	+	131.02274833027556	-41.40791922177353	0.0	0.0	false	
line	+	131.01606829639442	-41.40035767679279	0.0	0.0	false	
line	+	131.01161903887336	-41.394477828772324	0.0	0.0	false	
line	+	131.0071672902265	-41.38943641368324	0.0	0.0	false	
line	+	131.00383393525664	-41.38439733446822	0.0	0.0	false	
line	+	131.00274303168783	-41.37768599809634	0.0	0.0	false	
line	+	131.0027631273871	-41.372654376179625	0.0	0.0	false	
line	+	131.00390396903663	-41.36678665699188	0.0	0.0	false	
line	+	131.009504028161	-41.36344461112539	0.0	0.0	false	
line	+	131.01287536983247	-41.35842027915503	0.0	0.0	false	
line	+	131.01512901654166	-41.35339346184716	0.0	0.0	false	
line	+	131.01515132713698	-41.34752323387195	0.0	0.0	false	
line	+	131.01517044575232	-41.342491609904556	0.0	0.0	false	
line	+	131.0151991154535	-41.334944173950866	0.0	0.0	false	
line	+	131.01522140729145	-41.32907394596632	0.0	0.0	false	
line	+	131.01300717064797	-41.32403751800098	0.0	0.0	false	
line	+	131.01079327482228	-41.31900104762443	0.0	0.0	false	
line	+	131.0052269184631	-41.314795723353946	0.0	0.0	false	
line	+	130.99742157934782	-41.31226223279991	0.0	0.0	false	
line	+	130.9885039489379	-41.308886967430944	0.0	0.0	false	
line	+	130.98293629429506	-41.3055191724785	0.0	0.0	false	
line	+	130.9773692140537	-41.30215110919832	0.0	0.0	false	
line	+	130.97181392626777	-41.296266969684915	0.0	0.0	false	
line	+	130.96737193438574	-41.29122402472102	0.0	0.0	false	
line	+	130.9629383317481	-41.284503704184	0.0	0.0	false	
line	+	130.95850173114422	-41.278621815646474	0.0	0.0	false	
line	+	130.95406592791295	-41.272739756629505	0.0	0.0	false	
line	+	130.94963092175584	-41.266857527167	0.0	0.0	false	
line	+	130.94520078939829	-41.26013652547034	0.0	0.0	false	
line	+	130.94299427366815	-41.25509875730577	0.0	0.0	false	
line	+	130.93967269553949	-41.25005783081851	0.0	0.0	false	
line	+	130.93524051655334	-41.24417504823024	0.0	0.0	false	
line	+	130.93303530229463	-41.23913708940168	0.0	0.0	false	
line	+	130.92860017028516	-41.23409265305221	0.0	0.0	false	
line	+	130.9263958044456	-41.22905456711889	0.0	0.0	false	
line	+	130.92530673230885	-41.22401970452166	0.0	0.0	false	
line	+	130.92533702265584	-41.21814949546192	0.0	0.0	false	
line	+	130.92647774932325	-41.21312114166057	0.0	0.0	false	
line	+	130.92984766745093	-41.20809923033345	0.0	0.0	false	
line	+	130.93433166515513	-41.203080398442054	0.0	0.0	false	
line	+	130.93881082143469	-41.19889999381213	0.0	0.0	false	
line	+	130.9466327755876	-41.19472862522357	0.0	0.0	false	
line	+	130.95445373067253	-41.190556725642274	0.0	0.0	false	
line	+	130.9622621390375	-41.18890010417721	0.0	0.0	false	
line	+	130.97117701228404	-41.1889229823981	0.0	0.0	false	
line	+	130.97786317109748	-41.188939688676264	0.0	0.0	false	
line	+	130.98455646052437	-41.187278799651885	0.0	0.0	false	
line	+	130.9923671770791	-41.184781535176604	0.0	0.0	false	
line	+	130.99906304932472	-41.182281199609825	0.0	0.0	false	
line	+	131.00354327669103	-41.176421070685386	0.0	0.0	false	
line	+	131.00468055529907	-41.17055333713896	0.0	0.0	false	
line	+	131.00470037670695	-41.16552170937564	0.0	0.0	false	
